"","gene_short_name","num_cells_expressed","use_for_ordering"
"UBA3","UBA3",410,TRUE
"ARL6IP5","ARL6IP5",462,TRUE
"MITF","MITF",420,TRUE
"CNTN3","CNTN3",247,TRUE
"GBE1","GBE1",538,TRUE
"CGGBP1","CGGBP1",315,TRUE
"NSUN3","NSUN3",350,TRUE
"DCBLD2","DCBLD2",205,TRUE
"TBC1D23","TBC1D23",310,TRUE
"RPL24","RPL24",277,TRUE
"NFKBIZ","NFKBIZ",229,TRUE
"TAGLN3","TAGLN3",217,TRUE
"GAP43","GAP43",310,TRUE
"EAF2","EAF2",208,TRUE
"PARP9","PARP9",271,TRUE
"CNBP","CNBP",268,TRUE
"PLXND1","PLXND1",294,TRUE
"CDV3","CDV3",211,TRUE
"RAB6B","RAB6B",220,TRUE
"SLC35G2","SLC35G2",192,TRUE
"NCK1-DT","NCK1-DT",382,TRUE
"CEP70","CEP70",226,TRUE
"ANKUB1","ANKUB1",161,TRUE
"PFN2","PFN2",196,TRUE
"SERP1","SERP1",262,TRUE
"MED12L","MED12L",597,TRUE
"P2RY13","P2RY13",565,TRUE
"SLC33A1","SLC33A1",225,TRUE
"CCNL1","CCNL1",437,TRUE
"KPNA4","KPNA4",481,TRUE
"SERPINI1","SERPINI1",412,TRUE
"GOLIM4","GOLIM4",263,TRUE
"SEC62","SEC62",447,TRUE
"NCEH1","NCEH1",227,TRUE
"ATP11B","ATP11B",543,TRUE
"MCF2L2","MCF2L2",612,TRUE
"KLHL6","KLHL6",273,TRUE
"AP2M1","AP2M1",315,TRUE
"EIF4G1","EIF4G1",202,TRUE
"C3orf70","C3orf70",211,TRUE
"TRA2B","TRA2B",641,TRUE
"EIF4A2","EIF4A2",646,TRUE
"MB21D2","MB21D2",259,TRUE
"PPP1R2","PPP1R2",233,TRUE
"TFRC","TFRC",217,TRUE
"UBXN7","UBXN7",458,TRUE
"FYTTD1","FYTTD1",242,TRUE
"RPL35A","RPL35A",267,TRUE
"ATP5ME","ATP5ME",355,TRUE
"AC092535.4","AC092535.4",200,TRUE
"NELFA","NELFA",250,TRUE
"C4orf48","C4orf48",198,TRUE
"MXD4","MXD4",399,TRUE
"SH3BP2","SH3BP2",354,TRUE
"STK32B","STK32B",410,TRUE
"SH3TC1","SH3TC1",654,TRUE
"SLC2A9","SLC2A9",295,TRUE
"AC005699.1","AC005699.1",268,TRUE
"TLR10","TLR10",309,TRUE
"TLR1","TLR1",594,TRUE
"RPL9","RPL9",350,TRUE
"N4BP2","N4BP2",294,TRUE
"UCHL1","UCHL1",370,TRUE
"AASDH","AASDH",206,TRUE
"POLR2B","POLR2B",408,TRUE
"RCHY1","RCHY1",244,TRUE
"G3BP2","G3BP2",393,TRUE
"USO1","USO1",493,TRUE
"MRPL1","MRPL1",280,TRUE
"LINC01094","LINC01094",434,TRUE
"PAQR3","PAQR3",172,TRUE
"HELQ","HELQ",193,TRUE
"KLHL8","KLHL8",352,TRUE
"SPP1","SPP1",1030,TRUE
"FAM13A-AS1","FAM13A-AS1",208,TRUE
"MMRN1","MMRN1",207,TRUE
"HPGDS","HPGDS",388,TRUE
"EIF4E","EIF4E",414,TRUE
"METAP1","METAP1",200,TRUE
"NFKB1","NFKB1",513,TRUE
"RPL34","RPL34",520,TRUE
"LARP7","LARP7",255,TRUE
"PDE5A","PDE5A",176,TRUE
"LINC01091","LINC01091",608,TRUE
